rank,name,team,position,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,year
1,최원준,KT,OF,0.386,62,297,254,54,98,19,2,5,136,37,3,3,33,0,4,40,2,0.535,0.459,0.994,30,0.328,0,2026
2,이우성,NC,OF,0.355,59,225,211,21,75,14,0,4,101,26,1,0,12,0,1,33,9,0.479,0.393,0.872,25,0.34,0,2026
3,박성한,SSG,SS,0.355,63,280,231,46,82,16,1,3,109,32,0,2,46,1,1,27,2,0.472,0.461,0.933,24,0.442,0.333,2026
4,레이예스,롯데,OF,0.352,62,277,247,28,87,15,1,9,131,44,0,3,25,5,2,32,2,0.53,0.412,0.942,25,0.381,0,2026
5,오스틴,LG,1B,0.349,63,286,252,53,88,15,3,19,166,59,0,2,28,2,4,41,5,0.659,0.42,1.079,22,0.411,0,2026
6,페라자,한화,OF,0.329,62,287,240,54,79,14,1,13,134,40,2,3,41,4,1,54,6,0.558,0.425,0.983,21,0.271,0,2026
7,강백호,한화,1B,0.323,58,256,226,37,73,16,0,13,128,63,0,1,28,1,1,52,5,0.566,0.398,0.964,22,0.435,0,2026
8,구자욱,삼성,OF,0.321,45,193,162,29,52,10,2,7,87,40,0,3,25,2,3,27,1,0.537,0.415,0.952,15,0.413,0,2026
9,최형우,삼성,OF,0.317,60,256,208,28,66,10,0,8,100,44,0,3,42,2,3,34,7,0.481,0.434,0.915,17,0.338,0.25,2026
10,박건우,NC,OF,0.309,60,241,204,32,63,8,0,12,107,34,0,5,31,4,1,48,4,0.525,0.394,0.919,17,0.235,0,2026
11,박민우,NC,2B,0.306,60,251,206,39,63,13,0,4,88,37,1,2,36,2,6,30,6,0.427,0.42,0.847,16,0.424,0.5,2026
12,김지찬,삼성,OF,0.304,61,235,194,47,59,5,2,0,68,18,5,1,32,1,3,13,2,0.351,0.409,0.76,16,0.317,0.25,2026
13,류지혁,삼성,2B,0.303,60,233,201,29,61,12,3,4,91,29,2,1,25,1,4,36,4,0.453,0.39,0.843,19,0.298,0,2026
14,최정,SSG,3B,0.303,51,221,185,32,56,13,1,15,116,42,0,5,28,4,3,45,4,0.627,0.394,1.021,13,0.26,0,2026
15,카메론,두산,OF,0.299,64,274,244,37,73,17,3,9,123,41,0,1,26,0,3,46,7,0.504,0.372,0.876,22,0.267,1,2026
16,김주원,NC,SS,0.296,62,281,243,35,72,9,0,11,114,29,1,3,22,1,12,36,0,0.469,0.379,0.848,22,0.246,0,2026
17,정준재,SSG,2B,0.296,60,234,196,30,58,7,5,1,78,24,10,4,22,0,2,31,4,0.398,0.366,0.764,17,0.4,0.5,2026
18,문현빈,한화,OF,0.292,60,280,236,41,69,15,4,9,119,44,1,3,37,0,3,30,11,0.504,0.391,0.895,18,0.267,0,2026
19,안치홍,키움,2B,0.291,57,249,220,25,64,11,0,4,87,24,0,0,28,2,1,35,7,0.395,0.373,0.768,15,0.291,1,2026
20,김상수,KT,2B,0.29,59,236,193,20,56,4,1,0,62,21,5,1,33,0,4,27,6,0.321,0.403,0.724,16,0.311,0.5,2026
21,나성범,KIA,OF,0.286,60,241,206,34,59,14,0,11,106,31,0,2,29,0,4,67,2,0.515,0.382,0.897,16,0.333,0,2026
22,디아즈,삼성,1B,0.285,62,280,246,36,70,10,0,11,113,48,0,3,31,1,0,45,8,0.459,0.361,0.82,20,0.291,0,2026
23,박해민,LG,OF,0.284,63,241,204,31,58,8,0,2,72,28,7,6,18,0,6,32,0,0.353,0.35,0.703,14,0.34,0,2026
24,전민재,롯데,SS,0.282,59,211,188,21,53,8,0,6,79,29,2,3,16,0,2,39,4,0.42,0.34,0.76,16,0.26,0,2026
25,김호령,KIA,OF,0.281,63,263,235,34,66,13,1,8,105,31,5,3,17,1,3,68,2,0.447,0.333,0.78,27,0.217,0,2026
26,김현수,KT,OF,0.279,63,290,258,30,72,14,0,5,101,46,0,2,30,0,0,30,10,0.391,0.352,0.743,23,0.304,0,2026
27,오지환,LG,SS,0.276,59,218,185,29,51,9,0,6,78,38,6,3,21,0,3,39,3,0.422,0.354,0.776,12,0.316,0,2026
28,심우준,한화,SS,0.275,54,198,167,33,46,6,0,3,61,22,3,0,25,0,3,34,1,0.365,0.379,0.744,11,0.269,0,2026
29,김민석,두산,OF,0.275,58,208,182,27,50,11,1,3,72,22,1,1,23,0,1,39,1,0.396,0.357,0.753,11,0.348,0.286,2026
30,박재현,KIA,OF,0.273,60,235,216,31,59,7,0,8,90,30,5,0,14,0,0,50,1,0.417,0.317,0.734,15,0.347,0,2026
31,김도영,KIA,3B,0.272,64,276,235,45,64,9,1,19,132,52,0,2,34,4,5,44,6,0.562,0.373,0.935,14,0.356,0,2026
32,정수빈,두산,OF,0.272,63,254,217,35,59,4,3,5,84,26,5,0,29,0,3,37,2,0.387,0.365,0.752,17,0.302,0,2026
33,힐리어드,KT,OF,0.271,63,280,247,47,67,11,3,13,123,48,0,4,29,0,0,81,2,0.498,0.343,0.841,19,0.243,0,2026
34,박지훈,두산,3B,0.268,60,198,168,26,45,4,2,0,53,16,8,0,18,0,4,27,2,0.315,0.353,0.668,10,0.282,0.25,2026
35,김선빈,KIA,2B,0.267,62,248,210,26,56,13,0,1,72,22,0,1,35,1,2,26,4,0.343,0.375,0.718,16,0.273,0.5,2026
