rank,name ,team,ERA,G,W,L,SV,HLB,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,year
1,후라도,삼성,2.61,12,3,1,0,0,0.75,76    ,76,8,13,3,50,28,22,1.17,0,0,10,0,316,1156,0.259,6,2,4,3,0,4,0,2026
2,올러,KIA,2.66,13,7,5,0,0,0.583,81 1/3,52,5,25,4,86,25,24,0.95,1,1,8,0,320,1211,0.182,5,2,5,1,0,3,0,2026
3,류현진,한화,2.84,12,8,2,0,0,0.8,69 2/3,62,4,10,2,56,28,22,1.03,0,0,6,0,280,1059,0.239,14,1,7,2,1,1,0,2026
4,최민석,두산,2.88,12,6,2,0,0,0.75,68 2/3,54,3,31,4,67,28,22,1.24,0,0,7,0,291,1098,0.215,13,0,3,2,0,3,1,2026
5,알칸타라,키움,3.12,12,6,4,0,0,0.6,78    ,79,11,11,0,70,28,27,1.15,0,0,8,0,318,1154,0.259,12,2,1,1,0,2,0,2026
6,김진욱,롯데,3.2,12,3,3,0,0,0.5,70 1/3,62,8,20,2,54,32,25,1.17,0,0,6,0,296,1151,0.232,8,0,6,1,0,1,0,2026
7,곽빈,두산,3.38,12,4,3,0,0,0.571,66 2/3,68,4,24,1,79,29,25,1.38,0,0,7,0,291,1174,0.262,8,1,0,6,0,2,0,2026
8,왕옌청,한화,3.49,13,5,3,0,0,0.625,67    ,70,5,28,4,57,36,26,1.46,0,0,4,0,296,1162,0.266,10,0,1,0,0,3,0,2026
9,네일,KIA,3.58,13,2,4,0,0,0.333,75 1/3,69,3,15,10,56,30,30,1.12,0,0,7,0,313,1215,0.243,12,0,3,1,1,1,0,2026
10,구창모,NC,3.69,12,6,2,0,0,0.75,68 1/3,64,8,21,2,56,31,28,1.24,0,0,7,0,290,1076,0.243,12,2,3,1,1,4,0,2026
11,임찬규,LG,3.72,12,6,1,0,0,0.857,65 1/3,78,5,23,1,36,28,27,1.55,0,0,4,0,288,1090,0.3,13,0,2,2,0,1,0,2026
12,오러클린,삼성,3.88,13,5,3,0,0,0.625,67 1/3,54,5,29,8,66,31,29,1.23,0,0,7,0,287,1163,0.223,14,0,4,4,0,3,0,2026
13,톨허스트,LG,3.99,13,7,4,0,0,0.636,70    ,65,6,19,7,59,31,31,1.2,0,0,9,0,299,1125,0.243,10,0,2,3,0,1,1,2026
14,잭로그,두산,4.01,13,3,4,0,0,0.429,74,90,5,13,5,64,36,33,1.39,0,0,6,0,328,1172,0.292,19,1,2,0,0,1,0,2026
15,나균안,롯데,4.06,12,2,6,0,0,0.25,68 2/3,74,10,21,2,57,35,31,1.38,0,0,5,0,298,1138,0.277,15,0,5,3,1,2,0,2026
16,사우어,KT,4.42,13,5,3,0,0,0.625,75 1/3,68,7,30,11,58,39,37,1.3,0,0,6,0,328,1254,0.241,12,4,1,4,1,10,0,2026
17,고영표,KT,4.5,12,4,4,0,0,0.5,68,74,8,11,6,78,35,34,1.25,0,0,6,0,292,1092,0.273,12,0,4,0,0,0,0,2026
18,비슬리,롯데,4.86,12,4,3,0,0,0.571,63    ,76,5,19,5,74,36,34,1.51,0,0,5,0,286,1108,0.297,13,1,5,1,0,2,1,2026
19,테일러,NC,4.91,12,4,4,0,0,0.5,62 1/3,61,3,27,5,47,38,34,1.41,0,0,3,0,269,1100,0.261,13,1,1,2,0,2,0,2026
20,박세웅,롯데,5.15,12,1,5,0,0,0.167,64 2/3,71,5,31,5,56,42,37,1.58,0,0,4,0,295,1152,0.282,21,1,4,3,0,2,0,2026
21,로드리게스,롯데,5.17,12,4,5,0,0,0.444,62 2/3,67,10,24,3,68,38,36,1.45,0,0,5,0,281,1149,0.267,10,2,3,0,0,9,0,2026
