연도,순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
2026,1,두산,4.01,71,34,35,15,26,0.493,629,641,46,254,39,585,321,280,1.42,0,4,32,8,2790,10849,0.263,120,9,38,25,6,33,2
2026,2,KIA,4.08,71,37,33,15,44,0.529,628 2/3,601,66,267,38,508,320,285,1.38,1,6,25,11,2746,10826,0.251,97,6,28,15,11,23,2
2026,3,삼성,4.12,69,39,28,19,37,0.582,614,594,64,264,49,499,310,281,1.4,1,3,32,9,2690,10436,0.256,103,6,32,21,9,25,0
2026,4,LG,4.32,70,44,26,31,54,0.629,620 1/3,660,56,228,30,464,316,298,1.43,0,3,23,11,2729,10553,0.271,102,10,19,21,4,26,1
2026,5,NC,4.53,68,32,35,12,36,0.478,596 1/3,572,73,282,38,537,348,300,1.43,1,3,20,12,2645,10553,0.251,100,11,28,22,6,38,0
2026,6,롯데,4.58,69,28,39,14,31,0.418,615 2/3,637,61,279,35,550,353,313,1.49,0,1,30,9,2749,10805,0.268,125,7,41,18,11,45,1
2026,7,한화,4.63,69,33,34,11,42,0.493,614 2/3,634,56,291,50,510,362,316,1.5,0,1,22,12,2766,10777,0.268,100,14,34,25,2,26,1
2026,8,KT,4.64,69,41,27,16,27,0.603,617 1/3,669,57,226,40,533,343,318,1.45,0,4,27,9,2732,10430,0.277,105,11,27,21,12,33,0
2026,9,키움,4.84,72,26,45,17,37,0.366,632 2/3,700,56,261,39,525,362,340,1.52,0,5,18,11,2844,11097,0.282,132,18,33,33,3,37,1
2026,10,SSG,5.61,70,28,40,10,29,0.412,613,638,74,338,46,521,413,382,1.59,0,3,9,10,2814,11178,0.268,101,5,22,24,12,29,3
